Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to7,Feature log2 fold change topic 3to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,80,1.57749,6,-2.4885,31,-0.0952,26,-0.3775
ENSG00000188976,NOC2L,80,0.24744,52,-0.4418,88,0.82275,38,-1.0751
ENSG00000188290,HES4,80,0.65957,13,-2.1553,44,-0.5274,75,0.73747
ENSG00000187608,ISG15,80,0.84263,63,0.43542,33,-0.9310,58,0.38715
ENSG00000078808,SDF4,80,-0.0918,126,0.64062,89,0.14135,66,-0.4927
ENSG00000176022,B3GALT6,80,1.29912,19,-1.0593,40,0.24502,24,-0.8479
ENSG00000160087,UBE2J2,80,0.67796,60,0.20502,57,0.21065,35,-0.7858
ENSG00000131584,ACAP3,851,3.20521,46,-1.9745,97,-1.2855,98,-1.0096
ENSG00000127054,INTS11,80,0.42051,92,0.64657,64,0.08026,43,-0.7024
ENSG00000224051,CPTP,80,1.39795,27,-0.4266,34,-0.0748,24,-0.6879
ENSG00000107404,DVL1,80,0.44819,61,0.01647,59,-0.1039,58,-0.1022
ENSG00000175756,AURKAIP1,80,-0.6955,168,0.47513,133,0.17917,113,-0.2052
ENSG00000221978,CCNL2,80,0.32164,118,0.97859,56,-0.4152,59,-0.2131
ENSG00000242485,MRPL20,80,-1.0322,233,0.65622,165,0.16999,140,-0.2122
ENSG00000179403,VWA1,80,1.25649,54,0.58197,18,-1.6418,51,0.66704
ENSG00000205090,TMEM240,80,0.97445,8,-2.4713,49,0.27087,38,-0.3292
ENSG00000160075,SSU72,80,-1.1177,202,0.32781,197,0.56679,128,-0.5051
ENSG00000228594,FNDC10,80,1.24030,4,-3.2298,46,0.56726,23,-0.9329
ENSG00000272106,ENSG00000272106,80,1.41996,45,0.43580,25,-0.8580,33,-0.1072
ENSG00000197530,MIB2,80,1.17921,57,0.60375,39,-0.0427,21,-1.1493
ENSG00000189339,SLC35E2B,80,-0.2882,87,-0.1574,105,0.26348,90,-0.1367
ENSG00000008130,NADK,80,1.45926,40,0.26909,27,-0.5626,28,-0.4077
ENSG00000078369,GNB1,80,-2.3405,331,-0.2008,464,0.69753,340,-0.1993
ENSG00000187730,GABRD,80,-0.7963,61,-1.2010,167,0.74422,119,-0.2302
ENSG00000067606,PRKCZ,80,-1.2004,69,-1.4317,228,0.91222,152,-0.2768
ENSG00000162585,FAAP20,80,0.47533,109,0.99025,55,-0.2488,45,-0.5339
ENSG00000157933,SKI,80,0.86084,61,0.40883,38,-0.5991,48,0.04034
ENSG00000157916,RER1,80,0.04662,109,0.55527,83,0.17146,59,-0.5452
ENSG00000157911,PEX10,80,1.28466,35,-0.0975,33,-0.3493,31,-0.3385
ENSG00000197921,HES5,80,1.06455,5,-3.1187,24,-1.3204,73,1.29673
ENSG00000157870,PRXL2B,847,3.61977,69,-1.1626,76,-1.4972,55,-1.7384
ENSG00000158109,TPRG1L,80,-1.3372,173,-0.1613,248,0.88929,139,-0.6196
ENSG00000130764,LRRC47,80,-0.0255,82,0.01531,89,0.28276,68,-0.3488
ENSG00000196581,AJAP1,80,0.74501,2,-4.7872,59,0.46205,44,-0.2895
ENSG00000069424,KCNAB2,80,-1.2833,45,-2.1263,233,0.78463,184,-0.0081
ENSG00000116254,CHD5,80,-0.9540,27,-2.5858,204,1.13152,119,-0.4328
