Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to10,Feature log2 fold change topic 2to10
ENSG00000228794,LINC01128,80,1.57749,27,-1.5774
ENSG00000188976,NOC2L,80,0.24744,67,-0.2474
ENSG00000188290,HES4,80,0.65957,51,-0.6595
ENSG00000187608,ISG15,80,0.84263,44,-0.8426
ENSG00000078808,SDF4,80,-0.0918,85,0.09182
ENSG00000176022,B3GALT6,80,1.29912,32,-1.2991
ENSG00000160087,UBE2J2,80,0.67796,50,-0.6779
ENSG00000131584,ACAP3,851,3.20521,92,-3.2052
ENSG00000127054,INTS11,80,0.42051,60,-0.4205
ENSG00000224051,CPTP,80,1.39795,30,-1.3979
ENSG00000107404,DVL1,80,0.44819,59,-0.4481
ENSG00000175756,AURKAIP1,80,-0.6955,130,0.69553
ENSG00000221978,CCNL2,80,0.32164,64,-0.3216
ENSG00000242485,MRPL20,80,-1.0322,164,1.03225
ENSG00000179403,VWA1,80,1.25649,33,-1.2564
ENSG00000205090,TMEM240,80,0.97445,41,-0.9744
ENSG00000160075,SSU72,80,-1.1177,175,1.11776
ENSG00000228594,FNDC10,80,1.24030,34,-1.2403
ENSG00000272106,ENSG00000272106,80,1.41996,30,-1.4199
ENSG00000197530,MIB2,80,1.17921,35,-1.1792
ENSG00000189339,SLC35E2B,80,-0.2882,98,0.28825
ENSG00000008130,NADK,80,1.45926,29,-1.4592
ENSG00000078369,GNB1,80,-2.3405,408,2.34052
ENSG00000187730,GABRD,80,-0.7963,140,0.79638
ENSG00000067606,PRKCZ,80,-1.2004,185,1.20044
ENSG00000162585,FAAP20,80,0.47533,58,-0.4753
ENSG00000157933,SKI,80,0.86084,44,-0.8608
ENSG00000157916,RER1,80,0.04662,78,-0.0466
ENSG00000157911,PEX10,80,1.28466,33,-1.2846
ENSG00000197921,HES5,80,1.06455,38,-1.0645
ENSG00000157870,PRXL2B,847,3.61977,68,-3.6197
ENSG00000158109,TPRG1L,80,-1.3372,203,1.33721
ENSG00000130764,LRRC47,80,-0.0255,82,0.02558
ENSG00000196581,AJAP1,80,0.74501,48,-0.7450
ENSG00000069424,KCNAB2,80,-1.2833,196,1.28332
ENSG00000116254,CHD5,80,-0.9540,156,0.95409
ENSG00000116251,RPL22,669,0.90266,358,-0.9026
ENSG00000116237,ICMT,80,0.84916,44,-0.8491
ENSG00000097021,ACOT7,80,-1.7743,275,1.77435
ENSG00000215788,TNFRSF25,80,1.45923,29,-1.4592
ENSG00000162408,NOL9,80,0.83512,45,-0.8351
ENSG00000162413,KLHL21,80,0.53766,55,-0.5376
ENSG00000007923,DNAJC11,80,0.79586,46,-0.7958
ENSG00000171735,CAMTA1,80,-1.1945,184,1.19453
ENSG00000049245,VAMP3,80,1.32045,32,-1.3204
ENSG00000049246,PER3,80,1.14532,36,-1.1453
ENSG00000116288,PARK7,80,-2.0417,332,2.04170
ENSG00000162426,SLC45A1,80,1.17994,35,-1.1799
ENSG00000142599,RERE,80,-0.4279,108,0.42796
ENSG00000074800,ENO1,80,-3.2777,782,3.27773
ENSG00000171612,SLC25A33,80,1.37166,31,-1.3716
ENSG00000171603,CLSTN1,80,-3.2601,772,3.26019
ENSG00000178585,CTNNBIP1,80,0.60275,53,-0.6027
ENSG00000162441,LZIC,80,0.97429,41,-0.9742
ENSG00000130939,UBE4B,80,0.62263,52,-0.6226
ENSG00000054523,KIF1B,80,-2.1879,367,2.18793
ENSG00000142657,PGD,80,0.10541,74,-0.1054
ENSG00000241563,CORT,80,-1.8220,285,1.82207
ENSG00000160049,DFFA,80,1.05415,38,-1.0541
ENSG00000142655,PEX14,80,1.45208,29,-1.4520
ENSG00000120948,TARDBP,80,-0.4406,109,0.44062
ENSG00000116649,SRM,80,-0.3913,105,0.39136
ENSG00000171824,EXOSC10,80,1.39661,30,-1.3966
ENSG00000198793,MTOR,80,0.82501,45,-0.8250
ENSG00000116661,FBXO2,80,-1.1898,184,1.18989
ENSG00000132879,FBXO44,80,-0.7534,135,0.75345
ENSG00000116670,MAD2L2,80,1.57781,27,-1.5778
ENSG00000011021,CLCN6,80,-0.1844,91,0.18443
ENSG00000116685,KIAA2013,80,0.91938,42,-0.9193
ENSG00000083444,PLOD1,80,1.15214,36,-1.1521
ENSG00000116688,MFN2,80,-0.6919,130,0.69190
ENSG00000048707,VPS13D,80,0.22649,68,-0.2264
ENSG00000162496,DHRS3,80,0.93459,42,-0.9345
ENSG00000116731,PRDM2,80,0.64327,51,-0.6432
ENSG00000189337,KAZN,1670,4.92303,55,-4.9230
ENSG00000142634,EFHD2,80,-0.6071,122,0.60715
ENSG00000116138,DNAJC16,868,4.53794,37,-4.5379
ENSG00000116786,PLEKHM2,80,0.35431,63,-0.3543
ENSG00000065526,SPEN,80,0.83191,45,-0.8319
ENSG00000055070,SZRD1,80,1.33397,31,-1.3339
ENSG00000291072,CROCCP2,80,1.19617,35,-1.1961
ENSG00000058453,CROCC,80,1.02520,39,-1.0252
ENSG00000159363,ATP13A2,80,-1.1484,178,1.14844
ENSG00000117118,SDHB,80,-0.0328,82,0.03281
ENSG00000117115,PADI2,80,1.35830,31,-1.3583
ENSG00000117154,IGSF21,80,-0.4952,113,0.49521
ENSG00000159423,ALDH4A1,80,1.45708,29,-1.4570
ENSG00000127463,EMC1,80,1.01857,39,-1.0185
ENSG00000053372,MRTO4,80,1.20649,34,-1.2064
ENSG00000053371,AKR7A2,80,0.36146,62,-0.3614
ENSG00000077549,CAPZB,831,1.93057,218,-1.9305
ENSG00000173436,MICOS10,80,-1.5953,243,1.59537
ENSG00000158747,NBL1,80,-1.3275,202,1.32756
ENSG00000162545,CAMK2N1,80,-3.3624,829,3.36246
ENSG00000090432,MUL1,80,1.36108,31,-1.3610
ENSG00000158828,PINK1,731,0.98197,370,-0.9819
ENSG00000244038,DDOST,80,0.97409,41,-0.9740
ENSG00000189410,SH2D5,80,1.14406,36,-1.1440
