Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,80,1.57749,6,-2.4885,5,-2.8142,64,1.17239,28,-0.2296,32,0.02574,18,-0.9061,29,-0.1596
ENSG00000188976,NOC2L,80,0.24744,52,-0.4418,106,0.71656,122,0.95050,70,0.05227,33,-1.1060,31,-1.2325,51,-0.4589
ENSG00000188290,HES4,80,0.65957,13,-2.1553,88,0.82457,71,0.46867,20,-1.7659,43,-0.3456,110,1.21474,70,0.44426
ENSG00000187608,ISG15,80,0.84263,63,0.43542,68,0.56169,25,-0.9900,24,-1.2781,29,-0.7769,49,0.03451,95,1.13454
ENSG00000078808,SDF4,80,-0.0918,126,0.64062,100,0.26261,143,0.85970,68,-0.4480,57,-0.6176,57,-0.6285,84,-0.0178
ENSG00000176022,B3GALT6,80,1.29912,19,-1.0593,33,-0.1657,33,-0.1610,45,0.40380,16,-1.2337,34,-0.1470,21,-0.9053
ENSG00000160087,UBE2J2,80,0.67796,60,0.20502,29,-0.9443,89,0.86226,55,0.09364,22,-1.3247,37,-0.5543,46,-0.2347
ENSG00000131584,ACAP3,851,3.20521,46,-1.9745,50,-1.8419,185,0.16078,84,-1.2763,96,-0.8634,129,-0.4175,69,-1.3724
ENSG00000127054,INTS11,80,0.42051,92,0.64657,32,-1.0000,106,0.88999,60,-0.0656,51,-0.2877,40,-0.6702,37,-0.8054
ENSG00000224051,CPTP,80,1.39795,27,-0.4266,34,-0.0417,47,0.47429,30,-0.3176,30,-0.2316,17,-1.1169,26,-0.4557
ENSG00000107404,DVL1,80,0.44819,61,0.01647,62,0.02938,70,0.22197,54,-0.2462,80,0.43540,53,-0.2088,41,-0.6296
ENSG00000175756,AURKAIP1,80,-0.6955,168,0.47513,130,0.06368,155,0.35079,126,0.01956,117,-0.1101,124,-0.0089,98,-0.3888
ENSG00000221978,CCNL2,80,0.32164,118,0.97859,53,-0.3356,59,-0.1616,56,-0.3072,57,-0.2236,48,-0.4918,72,0.15070
ENSG00000242485,MRPL20,80,-1.0322,233,0.65622,172,0.15684,135,-0.2267,173,0.21688,152,-0.0403,141,-0.1650,128,-0.3079
ENSG00000179403,VWA1,80,1.25649,54,0.58197,14,-1.4789,50,0.44813,9,-2.4501,10,-1.9569,8,-2.3549,136,2.31384
ENSG00000205090,TMEM240,80,0.97445,8,-2.4713,28,-0.7014,73,0.81395,47,0.13113,44,-0.0228,39,-0.2004,30,-0.6159
ENSG00000160075,SSU72,80,-1.1177,202,0.32781,234,0.56805,154,-0.1079,199,0.40533,162,-0.0302,133,-0.3366,87,-0.9914
ENSG00000228594,FNDC10,80,1.24030,4,-3.2298,83,1.30963,42,0.13329,35,-0.1944,15,-1.3824,11,-1.8722,43,0.19720
ENSG00000272106,ENSG00000272106,80,1.41996,45,0.43580,5,-2.6833,34,-0.0301,28,-0.4373,31,-0.1605,54,0.71624,14,-1.4211
ENSG00000197530,MIB2,80,1.17921,57,0.60375,17,-1.2891,62,0.74329,39,-0.0535,28,-0.5284,18,-1.2127,17,-1.2491
ENSG00000189339,SLC35E2B,80,-0.2882,87,-0.1574,136,0.56710,99,0.04023,97,0.01128,106,0.15830,91,-0.0968,73,-0.4331
ENSG00000008130,NADK,80,1.45926,40,0.26909,16,-1.1525,45,0.46293,25,-0.5759,31,-0.1480,27,-0.3396,24,-0.5110
ENSG00000078369,GNB1,80,-2.3405,331,-0.2008,391,0.06544,673,0.97611,419,0.23349,352,-0.1005,345,-0.1354,323,-0.2389
ENSG00000187730,GABRD,80,-0.7963,61,-1.2010,61,-1.2207,331,1.56357,149,0.22312,91,-0.6049,236,0.94266,31,-2.2050
ENSG00000067606,PRKCZ,80,-1.2004,69,-1.4317,274,0.74328,269,0.71405,199,0.27840,138,-0.3669,200,0.21703,118,-0.6157
ENSG00000162585,FAAP20,80,0.47533,109,0.99025,66,0.15139,49,-0.3116,53,-0.2495,52,-0.2240,25,-1.3389,59,-0.0088
ENSG00000157933,SKI,80,0.86084,61,0.40883,15,-1.6952,18,-1.5103,52,0.18058,58,0.33356,47,-0.0140,40,-0.2776
ENSG00000157916,RER1,80,0.04662,109,0.55527,92,0.26366,113,0.60348,69,-0.2305,66,-0.2651,61,-0.3829,50,-0.7036
ENSG00000157911,PEX10,80,1.28466,35,-0.0975,32,-0.2406,32,-0.2219,33,-0.2358,26,-0.5861,27,-0.4911,42,0.16775
ENSG00000197921,HES5,80,1.06455,5,-3.1187,7,-2.7261,40,-0.0720,24,-1.0265,178,2.68751,22,-1.0190,18,-1.2808
ENSG00000157870,PRXL2B,847,3.61977,69,-1.1626,62,-1.3226,52,-1.5920,89,-0.9313,55,-1.4992,35,-2.1602,75,-1.0258
ENSG00000158109,TPRG1L,80,-1.3372,173,-0.1613,144,-0.4400,310,0.80047,262,0.70660,150,-0.3841,158,-0.2960,108,-0.8877
ENSG00000130764,LRRC47,80,-0.0255,82,0.01531,39,-1.1491,103,0.38076,102,0.48388,63,-0.4026,75,-0.1378,67,-0.3048
ENSG00000196581,AJAP1,80,0.74501,2,-4.7872,6,-3.1508,77,0.66993,71,0.73783,52,0.04776,41,-0.3454,39,-0.4302
ENSG00000069424,KCNAB2,80,-1.2833,45,-2.1263,160,-0.2200,206,0.18220,267,0.83735,277,0.66776,191,0.05990,83,-1.2380
ENSG00000116254,CHD5,80,-0.9540,27,-2.5858,219,0.64207,146,-0.0206,218,0.87516,190,0.40466,19,-3.0432,147,-0.0087
ENSG00000116251,RPL22,669,0.90266,572,0.63457,223,-0.8633,380,-0.0350,266,-0.7290,370,-0.0797,482,0.35062,392,0.01303
ENSG00000116237,ICMT,80,0.84916,96,1.16586,41,-0.2432,60,0.35143,28,-1.0052,21,-1.2674,67,0.53880,31,-0.6848
ENSG00000097021,ACOT7,80,-1.7743,95,-1.5283,373,0.61847,527,1.22041,318,0.47262,171,-0.6292,193,-0.4436,165,-0.6860
ENSG00000215788,TNFRSF25,80,1.45923,68,1.14626,17,-1.0561,33,-0.0401,30,-0.2290,19,-0.8739,24,-0.5375,8,-2.1555
ENSG00000162408,NOL9,80,0.83512,42,-0.2023,30,-0.7272,35,-0.5013,64,0.60459,48,0.00120,25,-1.0111,31,-0.7015
ENSG00000162413,KLHL21,80,0.53766,167,1.87296,43,-0.4554,67,0.24220,32,-1.0670,50,-0.2330,37,-0.7017,35,-0.7843
ENSG00000007923,DNAJC11,80,0.79586,33,-0.6480,47,-0.0693,49,-0.0278,52,0.11512,41,-0.2972,42,-0.2543,46,-0.1176
ENSG00000171735,CAMTA1,80,-1.1945,131,-0.4466,186,0.10684,203,0.25280,202,0.32167,148,-0.2577,159,-0.1439,225,0.41900
ENSG00000049245,VAMP3,80,1.32045,83,1.37699,31,-0.2436,19,-0.9993,10,-2.2207,30,-0.3198,14,-1.4100,79,1.29561
ENSG00000049246,PER3,80,1.14532,78,1.10097,6,-2.8236,36,-0.1734,28,-0.7059,58,0.58045,33,-0.2940,29,-0.5293
ENSG00000116288,PARK7,80,-2.0417,479,0.73644,407,0.46225,234,-0.4282,331,0.16090,331,0.12216,351,0.22055,190,-0.7479
ENSG00000162426,SLC45A1,80,1.17994,28,-0.5386,35,-0.2018,51,0.41965,37,-0.1146,38,-0.0761,29,-0.4694,22,-0.8746
ENSG00000142599,RERE,80,-0.4279,112,0.10570,104,-0.0186,101,-0.0625,127,0.41201,95,-0.1636,90,-0.2392,87,-0.3056
ENSG00000074800,ENO1,80,-3.2777,1112,0.73741,586,-0.3071,912,0.40423,834,0.33851,828,0.24411,654,-0.1357,442,-0.7444
ENSG00000171612,SLC25A33,80,1.37166,28,-0.3910,24,-0.6074,37,0.04091,28,-0.4373,10,-1.9058,27,-0.4543,66,1.01921
ENSG00000171603,CLSTN1,80,-3.2601,721,0.04107,720,0.03907,808,0.22456,1082,1.00031,600,-0.2511,412,-0.8345,442,-0.7261
ENSG00000178585,CTNNBIP1,80,0.60275,25,-1.2294,165,1.92332,35,-0.7284,40,-0.6120,30,-0.9223,19,-1.6031,78,0.56757
ENSG00000162441,LZIC,80,0.97429,76,0.87479,11,-2.1011,35,-0.3976,39,-0.2609,46,0.04640,26,-0.8281,55,0.33958
ENSG00000130939,UBE4B,80,0.62263,41,-0.4343,83,0.67669,41,-0.4451,60,0.18884,35,-0.6777,39,-0.5183,47,-0.2299
ENSG00000054523,KIF1B,80,-2.1879,285,-0.2731,452,0.47361,375,0.16588,375,0.21839,372,0.15100,254,-0.4548,440,0.42703
ENSG00000142657,PGD,80,0.10541,62,-0.2943,122,0.80284,117,0.73591,64,-0.3146,63,-0.2677,42,-0.9057,71,-0.0840
ENSG00000241563,CORT,80,-1.8220,44,-2.7037,2191,5.43524,43,-2.7296,47,-2.9111,31,-3.2059,105,-1.4191,7,-5.3139
ENSG00000160049,DFFA,80,1.05415,56,0.43720,46,0.12032,36,-0.2674,27,-0.8459,29,-0.6063,30,-0.5244,67,0.74778
ENSG00000142655,PEX14,80,1.45208,22,-0.6811,37,0.13113,34,-0.0237,26,-0.5277,48,0.56670,21,-0.7360,21,-0.7481
ENSG00000120948,TARDBP,80,-0.4406,185,0.92177,117,0.15893,84,-0.3590,108,0.03074,111,0.06885,89,-0.2754,71,-0.6204
ENSG00000116649,SRM,80,-0.3913,53,-1.0363,58,-0.8904,224,1.31815,124,0.40671,78,-0.4326,102,-0.0140,61,-0.8117
ENSG00000171824,EXOSC10,80,1.39661,68,1.10348,28,-0.3491,25,-0.5223,26,-0.6009,14,-1.3676,36,0.04965,22,-0.6962
ENSG00000198793,MTOR,80,0.82501,29,-0.7972,38,-0.3688,33,-0.5779,58,0.37542,29,-0.7841,54,0.18138,47,-0.0468
