Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000197530,MIB2,52,0.77179,33,-0.0136,21,-0.7294,49,0.66315,44,0.49010,27,-0.2919,24,-0.5047,23,-0.6322
ENSG00000189339,SLC35E2B,76,-0.4172,60,-0.7971,133,0.48831,130,0.44480,104,0.07053,111,0.17576,92,-0.1224,94,-0.1045
ENSG00000078369,GNB1,323,-0.4201,357,-0.2582,349,-0.2957,543,0.42344,456,0.13335,469,0.17980,384,-0.1438,449,0.12616
ENSG00000187730,GABRD,7,-4.5649,106,-0.6370,371,1.49273,123,-0.4051,239,0.69120,111,-0.5622,106,-0.6318,180,0.24719
ENSG00000067606,PRKCZ,48,-2.1432,161,-0.3012,268,0.53434,211,0.13512,214,0.15722,217,0.17749,221,0.21435,204,0.09283
ENSG00000162585,FAAP20,88,0.87421,31,-0.8274,40,-0.4298,88,0.86351,40,-0.4325,60,0.22531,72,0.53029,26,-1.1740
ENSG00000157933,SKI,97,1.21700,38,-0.3768,56,0.24931,50,0.07497,40,-0.2821,52,0.12963,33,-0.5721,32,-0.6922
ENSG00000157916,RER1,82,0.03669,43,-0.9566,113,0.57297,117,0.62959,70,-0.2069,135,0.87807,49,-0.7596,55,-0.6535
ENSG00000197921,HES5,10,-2.1731,38,-0.1475,79,1.08731,15,-1.5852,17,-1.3544,89,1.30694,32,-0.4292,48,0.25304
ENSG00000157870,PRXL2B,73,0.30281,53,-0.2349,58,-0.0794,112,1.02674,78,0.39882,53,-0.2364,34,-0.9044,44,-0.5676
ENSG00000158109,TPRG1L,112,-1.1059,137,-0.7888,183,-0.3468,415,1.02928,239,0.08748,249,0.15121,168,-0.4753,269,0.32266
ENSG00000130764,LRRC47,93,-0.0471,62,-0.6784,103,0.11461,138,0.60934,79,-0.2946,132,0.53981,103,0.11859,75,-0.4345
ENSG00000196581,AJAP1,2,-4.2785,50,0.06654,87,1.00508,32,-0.6256,85,0.95916,33,-0.5981,38,-0.3684,53,0.16234
ENSG00000069424,KCNAB2,26,-3.0796,117,-0.8556,102,-1.0727,263,0.43177,354,0.94549,182,-0.1665,173,-0.2545,302,0.79449
ENSG00000116254,CHD5,25,-2.6859,49,-1.6689,8,-4.2605,175,0.29894,224,0.71867,178,0.33112,318,1.35501,167,0.25744
ENSG00000116251,RPL22,584,0.79361,340,-0.1118,189,-1.0260,275,-0.4466,265,-0.5075,467,0.41059,346,-0.0837,406,0.20366
ENSG00000116237,ICMT,69,0.73018,49,0.15989,81,1.01606,59,0.46259,38,-0.2640,52,0.24498,23,-1.0502,15,-1.7808
ENSG00000097021,ACOT7,47,-3.0397,246,-0.5701,390,0.16776,497,0.57071,599,0.89573,412,0.25747,349,-0.0164,315,-0.2017
ENSG00000162408,NOL9,51,0.39115,34,-0.2342,25,-0.7153,37,-0.1044,23,-0.8435,55,0.52835,30,-0.4513,52,0.49140
ENSG00000162413,KLHL21,95,1.45782,33,-0.3252,33,-0.3553,93,1.41929,39,-0.0650,8,-2.3452,19,-1.1799,24,-0.9214
ENSG00000007923,DNAJC11,37,-0.1655,34,-0.2965,50,0.32363,44,0.13288,36,-0.1916,50,0.32223,21,-0.9845,47,0.28563
ENSG00000171735,CAMTA1,153,-0.0628,187,0.26927,127,-0.3584,142,-0.1837,164,0.04889,191,0.30187,176,0.16877,145,-0.1658
ENSG00000049246,PER3,54,0.68169,31,-0.2205,100,1.84582,25,-0.5796,47,0.46138,23,-0.6845,17,-1.1002,12,-1.8213
ENSG00000116288,PARK7,422,0.31210,288,-0.3049,313,-0.1718,358,0.04275,344,-0.0227,410,0.26602,330,-0.0900,336,-0.0653
ENSG00000162426,SLC45A1,9,-2.2436,27,-0.5572,33,-0.2850,69,0.96903,55,0.57270,46,0.26678,50,0.39399,31,-0.4021
ENSG00000142599,RERE,129,0.25546,68,-0.7630,112,0.01887,197,0.97901,104,-0.0943,121,0.14699,92,-0.2922,85,-0.4553
ENSG00000074800,ENO1,785,-0.2434,618,-0.6198,1282,0.56318,1417,0.73565,838,-0.1386,761,-0.2926,703,-0.4178,908,-0.0105
ENSG00000171603,CLSTN1,645,-0.2560,344,-1.2282,598,-0.3749,1279,0.88786,973,0.41655,658,-0.2242,644,-0.2569,832,0.17955
ENSG00000178585,CTNNBIP1,58,0.40946,21,-1.1970,11,-2.1205,79,0.94157,48,0.09670,66,0.63073,39,-0.2368,42,-0.1179
ENSG00000162441,LZIC,125,2.35692,29,-0.3082,25,-0.5634,35,-0.0273,20,-0.9088,51,0.60930,16,-1.2313,9,-2.2256
ENSG00000130939,UBE4B,46,-0.0544,40,-0.2912,23,-1.1085,97,1.20879,39,-0.3347,27,-0.8737,61,0.39921,49,0.02617
ENSG00000054523,KIF1B,366,-0.0626,350,-0.1338,355,-0.1112,481,0.38921,367,-0.0565,346,-0.1518,419,0.16113,368,-0.0578
ENSG00000142657,PGD,22,-1.5441,53,-0.2115,41,-0.6349,78,0.40670,110,0.99409,38,-0.7434,102,0.86401,52,-0.2784
ENSG00000241563,CORT,50,-1.7965,25,-2.8068,134,-0.2979,185,0.22134,32,-2.4354,26,-2.7415,971,4.00017,15,-3.7634
ENSG00000160049,DFFA,48,0.54928,36,0.08128,23,-0.5842,54,0.74725,17,-1.0714,49,0.58441,34,0.01476,23,-0.6719
ENSG00000120948,TARDBP,131,0.66392,76,-0.2250,97,0.15452,161,1.02746,54,-0.7779,66,-0.4540,76,-0.2368,65,-0.5277
ENSG00000116649,SRM,54,-1.4131,65,-1.1137,208,0.74269,150,0.18870,169,0.38614,117,-0.2046,115,-0.2397,161,0.36413
ENSG00000171824,EXOSC10,50,0.71126,13,-1.3868,40,0.33068,50,0.72737,34,0.06746,36,0.18930,15,-1.1405,27,-0.3514
ENSG00000198793,MTOR,43,-0.2562,40,-0.3641,35,-0.5537,67,0.45983,56,0.18103,65,0.42163,46,-0.1385,50,-0.0014
ENSG00000116661,FBXO2,247,0.47883,139,-0.4574,130,-0.5560,269,0.62501,151,-0.3233,115,-0.7562,213,0.22835,200,0.15042
ENSG00000132879,FBXO44,33,-2.0734,121,-0.0875,161,0.37473,276,1.33337,148,0.23469,66,-1.0324,123,-0.0594,112,-0.2476
ENSG00000011021,CLCN6,69,-0.0528,59,-0.2876,37,-1.0154,129,1.01630,104,0.64027,26,-1.5313,119,0.87224,47,-0.7087
ENSG00000116685,KIAA2013,55,0.74117,23,-0.6350,38,0.15217,71,1.20445,43,0.35770,24,-0.6176,18,-0.9915,21,-0.8781
ENSG00000083444,PLOD1,101,2.02115,36,0.12489,16,-1.0767,89,1.74893,19,-0.8660,3,-3.3682,8,-2.1422,13,-1.5664
ENSG00000116688,MFN2,39,-1.7709,103,-0.3004,122,-0.0286,174,0.56025,153,0.33967,132,0.09745,126,0.02280,134,0.14839
ENSG00000048707,VPS13D,79,0.27213,62,-0.1188,39,-0.8586,59,-0.1891,67,-0.0084,59,-0.1922,53,-0.3764,92,0.62145
ENSG00000162496,DHRS3,113,2.32389,18,-0.9186,41,0.38044,39,0.29113,8,-2.0019,27,-0.3054,22,-0.6313,12,-1.6462
ENSG00000116731,PRDM2,38,-0.7731,61,-0.0255,119,1.09247,63,0.02742,46,-0.4764,75,0.29898,28,-1.2601,66,0.09401
ENSG00000189337,KAZN,67,0.31677,42,-0.4398,31,-0.9036,55,-0.0132,81,0.62922,80,0.61852,67,0.31069,37,-0.6859
ENSG00000142634,EFHD2,54,-1.0413,29,-1.9961,6,-4.2061,68,-0.6965,226,1.30331,163,0.71217,227,1.31435,91,-0.2738
ENSG00000116138,DNAJC16,16,-1.0107,36,0.18128,19,-0.8126,32,0.02617,52,0.82819,41,0.39682,17,-0.9616,36,0.25936
ENSG00000116786,PLEKHM2,86,0.19495,75,-0.0287,36,-1.1451,75,-0.0232,91,0.29926,84,0.15535,81,0.11382,78,0.04769
ENSG00000065526,SPEN,68,0.79171,41,-0.0324,29,-0.5796,58,0.53311,47,0.19699,35,-0.3030,42,0.01283,29,-0.6557
ENSG00000291072,CROCCP2,41,0.34961,9,-1.9276,52,0.78470,44,0.47873,20,-0.7409,27,-0.3210,17,-0.9903,42,0.48401
ENSG00000159363,ATP13A2,34,-2.5574,132,-0.5284,124,-0.6270,282,0.70624,249,0.49507,200,0.12783,286,0.73307,177,-0.0764
ENSG00000117118,SDHB,68,-0.3856,53,-0.7608,140,0.81080,77,-0.1738,96,0.18315,70,-0.3419,112,0.42791,80,-0.1358
ENSG00000117115,PADI2,174,3.51241,19,-0.8560,3,-3.4055,3,-3.2144,9,-1.9795,23,-0.5766,39,0.30356,12,-1.6992
ENSG00000117154,IGSF21,24,-2.3268,41,-1.5495,9,-3.7644,172,0.70420,163,0.61668,136,0.30912,76,-0.6242,196,1.14057
ENSG00000127463,EMC1,57,0.52211,20,-1.1031,54,0.42757,36,-0.2350,46,0.15275,47,0.20624,45,0.13666,35,-0.3412
ENSG00000053372,MRTO4,30,-0.2060,31,-0.1465,20,-0.8648,66,1.10583,35,0.01257,29,-0.2448,36,0.07949,31,-0.1883
ENSG00000053371,AKR7A2,149,1.56628,27,-1.2531,67,0.16000,120,1.14899,19,-1.7615,74,0.32454,42,-0.5818,25,-1.4880
ENSG00000077549,CAPZB,224,0.09985,143,-0.6125,175,-0.2946,329,0.74622,199,-0.0964,136,-0.6967,201,-0.0808,245,0.28707
ENSG00000173436,MICOS10,201,-0.4515,168,-0.7313,142,-0.9972,323,0.30762,160,-0.8071,322,0.30652,339,0.39270,375,0.66497
ENSG00000158747,NBL1,122,-0.6413,140,-0.4222,86,-1.1770,198,0.13645,275,0.68374,212,0.24518,216,0.27354,197,0.14265
ENSG00000162545,CAMK2N1,170,-2.5054,363,-1.3777,463,-1.0068,406,-1.2054,916,0.06759,1453,0.84767,1058,0.30457,1540,1.15831
ENSG00000090432,MUL1,31,0.07187,28,-0.0845,16,-0.9982,41,0.50886,22,-0.4402,46,0.70997,31,0.07453,26,-0.2099
ENSG00000158828,PINK1,149,-1.6038,346,-0.3076,225,-0.9793,519,0.34878,543,0.42633,356,-0.2631,562,0.48565,538,0.47834
ENSG00000244038,DDOST,89,1.18256,26,-0.8503,54,0.30171,61,0.51404,21,-1.1498,35,-0.4069,56,0.37238,30,-0.6904
ENSG00000189410,SH2D5,5,-3.0452,46,0.19035,131,2.11983,30,-0.5185,61,0.63816,19,-1.1692,36,-0.2096,21,-1.1381
ENSG00000127483,HP1BP3,269,0.76887,168,-0.0176,159,-0.1108,231,0.50424,158,-0.1198,147,-0.2352,161,-0.0828,119,-0.6346
ENSG00000075151,EIF4G3,127,0.01085,69,-0.9501,83,-0.6660,153,0.30963,90,-0.5375,202,0.78416,175,0.54265,119,-0.1062
ENSG00000076864,RAP1GAP,8,-5.2503,303,0.05626,908,2.07083,317,0.12846,495,0.88641,93,-1.7691,115,-1.4511,198,-0.6910
ENSG00000090686,USP48,49,-0.3378,61,0.01272,92,0.70121,84,0.54316,62,0.05040,26,-1.2758,64,0.10666,52,-0.2593
ENSG00000070831,CDC42,264,0.11399,195,-0.3727,97,-1.4467,411,0.86270,296,0.30239,259,0.08088,215,-0.2199,240,-0.0481
ENSG00000173369,C1QB,235,4.25600,40,0.14528,28,-0.4018,3,-3.3863,6,-2.6463,5,-2.8798,0,-5.4868,6,-2.9199
ENSG00000004487,KDM1A,54,-0.0966,49,-0.2399,31,-0.9282,131,1.45590,56,-0.0254,53,-0.1219,67,0.27717,35,-0.8276
ENSG00000169641,LUZP1,16,-1.4417,30,-0.4974,30,-0.5297,43,0.04294,40,-0.0598,93,1.38927,54,0.43893,34,-0.3583
ENSG00000125944,HNRNPR,154,0.49225,100,-0.2130,157,0.52355,109,-0.0745,109,-0.0786,122,0.09963,59,-1.0350,110,-0.0760
ENSG00000142676,RPL11,932,1.20502,548,0.27670,334,-0.5160,360,-0.4019,311,-0.6320,584,0.38531,382,-0.3073,356,-0.4677
ENSG00000057757,PITHD1,133,-0.8020,172,-0.4049,155,-0.5643,311,0.56348,295,0.47248,223,0.00931,299,0.49478,203,-0.1598
ENSG00000011009,LYPLA2,94,0.47913,37,-0.9907,80,0.21922,137,1.14165,75,0.10666,54,-0.4138,50,-0.5492,52,-0.5201
ENSG00000189266,PNRC2,94,0.64010,54,-0.2669,29,-1.2098,69,0.12600,48,-0.4539,64,0.00926,56,-0.1965,80,0.42915
ENSG00000188529,SRSF10,118,1.03884,47,-0.4968,94,0.65012,57,-0.1713,32,-1.0562,74,0.23267,59,-0.1163,46,-0.5613
ENSG00000001461,NIPAL3,103,0.68281,79,0.22918,30,-1.2750,129,1.08048,57,-0.2851,67,-0.0409,92,0.48933,29,-1.4240
ENSG00000133226,SRRM1,109,1.37518,74,0.67114,26,-0.9719,73,0.65888,44,-0.1790,23,-1.1458,13,-2.0118,40,-0.3662
ENSG00000169504,CLIC4,219,3.46531,53,0.38258,17,-1.3615,35,-0.2919,8,-2.4318,23,-0.9457,11,-1.9348,4,-3.4391
ENSG00000117614,SYF2,140,1.17235,52,-0.4678,105,0.66580,39,-0.9295,45,-0.7044,54,-0.4260,66,-0.1002,66,-0.1089
ENSG00000117616,RSRP1,132,0.74974,43,-1.0313,178,1.28898,130,0.73263,81,-0.0505,43,-1.0445,45,-0.9642,52,-0.8395
ENSG00000183726,TMEM50A,108,0.61891,80,0.11440,132,0.96028,72,-0.0640,96,0.42137,47,-0.7351,39,-0.9894,48,-0.7542
ENSG00000204178,MACO1,30,0.11739,33,0.26347,41,0.62205,29,0.04870,52,1.04273,15,-0.9589,21,-0.4438,16,-1.0009
ENSG00000117643,MAN1C1,66,0.79490,12,-1.7851,40,-0.0185,105,1.66652,20,-1.0718,10,-2.0995,30,-0.5062,42,0.04365
ENSG00000162430,SELENON,117,1.82151,34,-0.3630,47,0.18653,67,0.77910,14,-1.6223,32,-0.4543,34,-0.3456,17,-1.5016
ENSG00000117640,MTFR1L,73,-0.1613,73,-0.1712,94,0.25244,124,0.71323,64,-0.3757,61,-0.4410,73,-0.1642,83,0.04224
ENSG00000117632,STMN1,511,-1.2508,385,-1.6787,177,-2.8307,1158,0.02584,1584,0.54708,1195,0.07702,2095,1.03793,1575,0.63401
ENSG00000158008,EXTL1,4,-3.2462,15,-1.3493,0,-6.5934,40,0.13833,72,1.12532,31,-0.2931,41,0.17322,65,1.14765
ENSG00000142684,ZNF593,56,0.60900,31,-0.3360,22,-0.8678,51,0.46199,11,-1.8802,56,0.61835,33,-0.2646,44,0.22778
ENSG00000142669,SH3BGRL3,325,0.00732,165,-1.0590,111,-1.6584,452,0.55495,269,-0.2971,330,0.03161,343,0.09176,460,0.68906
ENSG00000158062,UBXN11,99,1.95846,16,-1.1413,38,0.21164,87,1.69263,5,-2.6755,7,-2.3048,18,-0.9148,15,-1.3764
ENSG00000198830,HMGN2,543,1.94405,136,-0.4886,179,-0.0546,258,0.54872,65,-1.6058,144,-0.4012,153,-0.3087,95,-1.1532
ENSG00000117713,ARID1A,90,0.47779,73,0.11937,131,1.12360,90,0.47929,65,-0.0556,50,-0.4727,29,-1.2880,40,-0.9219
ENSG00000204160,ZDHHC18,10,-1.6412,40,0.55460,29,0.03869,45,0.75019,49,0.89295,10,-1.6237,21,-0.5023,27,-0.1007
ENSG00000090273,NUDC,386,1.38588,104,-0.8111,163,-0.1025,175,0.01263,105,-0.8007,221,0.39576,128,-0.4905,142,-0.3693
ENSG00000253368,TRNP1,3,-4.0265,44,-0.2943,33,-0.7619,19,-1.5407,80,0.68555,66,0.34900,102,1.10978,65,0.39322
ENSG00000090020,SLC9A1,19,-0.7250,24,-0.3561,25,-0.2577,37,0.37247,29,-0.0561,36,0.31124,28,-0.0629,34,0.28568
ENSG00000142784,WDTC1,68,0.71788,24,-0.9226,53,0.31725,47,0.12667,27,-0.7364,57,0.42254,35,-0.3629,42,-0.0963
ENSG00000186501,TMEM222,102,0.51705,48,-0.7067,102,0.51069,115,0.72365,89,0.28864,42,-0.9135,49,-0.6515,63,-0.3180
ENSG00000126705,AHDC1,40,-0.3527,44,-0.1979,55,0.17328,82,0.84553,55,0.15274,59,0.27914,54,0.13292,29,-0.9178
ENSG00000117758,STX12,79,-0.6910,92,-0.4574,65,-0.9933,160,0.44369,132,0.12355,159,0.43141,127,0.06265,144,0.30384
ENSG00000117751,PPP1R8,33,0.25170,36,0.40627,43,0.73104,10,-1.5241,38,0.50836,14,-1.0252,30,0.11880,23,-0.3173
ENSG00000117748,RPA2,49,-0.3911,48,-0.4186,112,0.98406,89,0.58825,73,0.25044,35,-0.9184,28,-1.2481,65,0.06045
ENSG00000126698,DNAJC8,165,0.67595,74,-0.6277,74,-0.6287,109,-0.0040,82,-0.4702,108,-0.0271,118,0.11847,129,0.30993
ENSG00000130770,ATP5IF1,184,-1.5363,295,-0.8187,336,-0.6151,542,0.14796,575,0.24566,752,0.70132,697,0.56967,536,0.15166
ENSG00000198492,YTHDF2,56,-0.2230,71,0.16685,64,-0.0194,97,0.67512,61,-0.0843,57,-0.1852,34,-1.0130,70,0.15384
ENSG00000116350,SRSF4,84,0.90394,33,-0.6163,21,-1.2785,76,0.71771,35,-0.5197,51,0.05432,30,-0.7572,56,0.23462
ENSG00000116353,MECR,6,-2.3429,37,0.27425,19,-0.7378,71,1.41232,31,-0.0293,19,-0.7561,34,0.15366,32,0.02437
ENSG00000162512,SDC3,137,-0.4411,209,0.23442,487,1.77036,109,-0.7918,209,0.23916,122,-0.6201,122,-0.6291,116,-0.7800
ENSG00000134644,PUM1,159,-0.0535,138,-0.2843,171,0.06129,167,0.02696,236,0.60413,203,0.34553,135,-0.3190,135,-0.3484
ENSG00000121766,ZCCHC17,35,-1.7574,79,-0.5287,98,-0.1901,80,-0.5143,179,0.79951,110,-0.0155,116,0.06701,150,0.59095
ENSG00000121769,FABP3,5,-4.3030,44,-1.3080,23,-2.2394,178,0.93748,143,0.55827,120,0.25876,162,0.77404,122,0.33592
ENSG00000162517,PEF1,54,-0.6170,75,-0.0916,54,-0.6246,97,0.31811,88,0.16786,71,-0.1852,69,-0.2260,104,0.52330
ENSG00000084636,COL16A1,218,2.53213,23,-1.4088,35,-0.7502,95,0.84175,28,-1.1096,20,-1.6315,30,-1.0264,34,-0.9114
ENSG00000121753,ADGRB2,58,-2.4705,208,-0.5613,400,0.50119,359,0.31807,465,0.75986,213,-0.5243,214,-0.5144,372,0.44179
ENSG00000184007,PTP4A2,276,1.07479,188,0.40549,42,-1.9157,117,-0.3641,112,-0.4307,120,-0.3273,109,-0.4817,180,0.38209
ENSG00000121774,KHDRBS1,183,0.41453,110,-0.4064,276,1.13269,144,0.02274,109,-0.4267,123,-0.2262,77,-0.9604,129,-0.1816
ENSG00000025800,KPNA6,58,0.32061,42,-0.1790,59,0.36024,73,0.72082,39,-0.3086,38,-0.3613,51,0.11508,33,-0.6189
ENSG00000084652,TXLNA,79,1.40887,41,0.25146,40,0.22908,36,0.05638,31,-0.1719,10,-1.8484,22,-0.7189,27,-0.4351
ENSG00000084623,EIF3I,116,-0.0002,78,-0.6116,105,-0.1585,198,0.90967,114,-0.0191,121,0.07028,107,-0.1261,101,-0.2490
ENSG00000175130,MARCKSL1,351,1.56654,135,-0.0989,87,-0.7860,126,-0.2152,103,-0.5284,164,0.20961,155,0.12114,87,-0.8752
ENSG00000160058,BSDC1,72,0.18819,32,-1.0796,67,0.06453,74,0.22785,83,0.42845,90,0.55418,74,0.22360,43,-0.6979
ENSG00000176261,ZBTB8OS,18,-0.8577,21,-0.6171,39,0.32989,25,-0.3471,28,-0.1943,32,0.00748,34,0.12488,44,0.61777
ENSG00000162521,RBBP4,171,1.14664,66,-0.4418,94,0.12257,132,0.68499,56,-0.7120,51,-0.8581,95,0.13710,61,-0.6327
ENSG00000134684,YARS1,40,-1.7019,105,-0.2184,82,-0.6014,170,0.57353,115,-0.0760,137,0.20731,140,0.24513,148,0.38602
ENSG00000116497,S100PBP,49,0.83008,26,-0.2337,48,0.79517,22,-0.4714,33,0.19416,28,-0.0592,20,-0.6181,20,-0.6547
ENSG00000121905,HPCA,5,-5.7089,253,-0.0105,965,2.54025,147,-0.8681,353,0.54374,53,-2.3782,41,-2.7458,236,-0.1371
ENSG00000121900,TMEM54,76,1.39801,20,-0.8061,27,-0.3401,48,0.58106,22,-0.6565,17,-1.0523,29,-0.2435,32,-0.0845
ENSG00000004455,AK2,64,1.24078,38,0.36330,18,-0.8061,31,-0.0128,21,-0.5665,38,0.34037,27,-0.2060,20,-0.7613
ENSG00000134686,PHC2,117,1.04596,38,-0.7875,82,0.42873,48,-0.4398,94,0.65899,57,-0.1628,37,-0.8263,48,-0.5028
ENSG00000163866,SMIM12,49,-0.5570,48,-0.5779,92,0.45812,81,0.24177,80,0.22670,76,0.14740,104,0.66473,48,-0.6448
ENSG00000116544,DLGAP3,11,-1.8234,39,0.10352,63,0.90095,24,-0.6385,47,0.41850,32,-0.2406,15,-1.3832,50,0.58059
ENSG00000116560,SFPQ,299,1.02739,119,-0.4987,179,0.14279,182,0.17086,110,-0.6235,188,0.22599,140,-0.2504,127,-0.4461
ENSG00000146463,ZMYM4,23,-1.0809,33,-0.5638,72,0.70572,74,0.76466,39,-0.3030,78,0.83969,36,-0.4349,34,-0.5607
ENSG00000142687,KIAA0319L,31,-1.0411,46,-0.4468,43,-0.5627,143,1.48829,59,-0.0421,51,-0.2824,72,0.27562,52,-0.3015
ENSG00000020129,NCDN,74,-3.5330,916,0.26674,2973,2.55887,858,0.15825,908,0.25283,296,-1.5030,296,-1.5022,343,-1.3966
ENSG00000126067,PSMB2,102,-0.4699,106,-0.4114,123,-0.1721,251,1.03547,169,0.34477,83,-0.7817,112,-0.3201,143,0.07795
ENSG00000142686,C1orf216,18,-2.3150,49,-0.8626,99,0.25170,115,0.49607,156,1.02685,41,-1.1306,93,0.14976,97,0.24514
ENSG00000092847,AGO1,42,0.29459,38,0.13065,40,0.21209,25,-0.5035,37,0.09207,27,-0.3964,26,-0.4692,40,0.23821
ENSG00000054116,TRAPPC3,75,0.35874,43,-0.5215,47,-0.3998,50,-0.3048,84,0.55146,60,-0.0061,52,-0.2445,66,0.16296
ENSG00000116871,MAP7D1,150,-0.5760,228,0.09304,199,-0.1296,147,-0.6095,317,0.64509,253,0.26232,204,-0.0907,221,0.04606
ENSG00000054118,THRAP3,162,1.50539,43,-0.7482,63,-0.1271,61,-0.1908,64,-0.1146,44,-0.7043,57,-0.2905,62,-0.1932
ENSG00000181817,LSM10,27,-0.7123,46,0.12646,65,0.68984,22,-1.0414,53,0.36166,33,-0.4102,63,0.64768,38,-0.2301
ENSG00000116898,MRPS15,33,-0.4494,21,-1.1249,60,0.50305,15,-1.5995,43,-0.0403,30,-0.5801,96,1.35570,48,0.17518
ENSG00000163873,GRIK3,12,-1.3933,21,-0.6256,2,-3.9209,23,-0.5067,56,0.98564,23,-0.4527,118,2.51507,13,-1.5002
ENSG00000163875,MEAF6,158,0.06853,90,-0.8295,247,0.82073,177,0.25326,114,-0.4600,102,-0.6236,202,0.47036,138,-0.1754
ENSG00000185090,MANEAL,0,-6.3062,49,0.32521,8,-2.3983,121,2.00575,60,0.67116,29,-0.4820,47,0.27783,22,-0.9883
ENSG00000197982,C1orf122,178,-0.1701,163,-0.3091,112,-0.8944,240,0.31654,193,-0.0391,258,0.43768,229,0.23710,204,0.05601
ENSG00000183431,SF3A3,58,0.58129,32,-0.3915,65,0.78397,41,0.02235,39,-0.0527,21,-1.0003,47,0.25019,31,-0.4813
ENSG00000185668,POU3F1,0,-7.8959,24,-0.6920,88,1.44697,49,0.40804,48,0.36968,29,-0.4256,20,-1.0187,43,0.21404
ENSG00000116954,RRAGC,45,-0.1898,32,-0.7243,67,0.44027,80,0.74445,64,0.35701,67,0.43945,52,0.02864,27,-1.1127
ENSG00000174574,AKIRIN1,132,0.26439,68,-0.7881,126,0.17967,152,0.49291,111,-0.0302,72,-0.6964,140,0.36157,106,-0.1102
ENSG00000168653,NDUFS5,253,-1.4205,476,-0.4488,587,-0.1145,461,-0.4991,613,-0.0436,993,0.76305,758,0.30366,766,0.37171
ENSG00000127603,MACF1,335,1.12615,202,0.24966,182,0.07468,124,-0.5330,134,-0.4102,170,-0.0348,149,-0.2378,132,-0.4818
ENSG00000090621,PABPC4,90,0.98691,62,0.35454,33,-0.6672,33,-0.6648,49,-0.0439,38,-0.4391,24,-1.1397,61,0.38233
