Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000188976,NOC2L,35,-0.9207,67,0.09173,54,-0.2651,74,0.24541,99,0.74338,42,-0.6444,64,0.01444,68,0.12888
ENSG00000188290,HES4,27,-0.8717,73,0.74485,84,0.97955,42,-0.1792,31,-0.6455,87,1.05195,37,-0.3746,20,-1.3957
ENSG00000187608,ISG15,166,2.23989,51,0.04283,21,-1.2952,39,-0.3788,29,-0.8275,59,0.28249,46,-0.1162,17,-1.7692
ENSG00000078808,SDF4,121,0.69400,63,-0.3686,72,-0.1535,129,0.81342,86,0.12246,51,-0.6939,79,-0.0102,57,-0.5798
ENSG00000176022,B3GALT6,33,-0.1766,13,-1.5903,49,0.50391,62,0.89784,39,0.10437,59,0.81149,27,-0.4872,23,-0.8015
ENSG00000160087,UBE2J2,26,-0.9005,48,0.07240,20,-1.3177,59,0.39890,74,0.77702,55,0.27534,52,0.20551,41,-0.2104
ENSG00000131584,ACAP3,38,-1.2215,78,-0.1358,92,0.13922,136,0.80142,157,1.04574,72,-0.2559,38,-1.2293,75,-0.2235
ENSG00000127054,INTS11,76,0.31285,45,-0.5179,66,0.08624,98,0.74506,87,0.54016,23,-1.5492,48,-0.4051,60,-0.0702
ENSG00000224051,CPTP,11,-1.5881,19,-0.8428,35,0.11504,16,-1.0993,29,-0.1607,97,1.98179,42,0.43922,21,-0.7578
ENSG00000107404,DVL1,53,-0.3216,41,-0.6938,85,0.46100,57,-0.1977,71,0.15332,75,0.24851,48,-0.4504,75,0.27656
ENSG00000175756,AURKAIP1,109,-0.4476,109,-0.4429,149,0.04729,170,0.26527,96,-0.6449,188,0.43430,151,0.06558,164,0.24257
ENSG00000221978,CCNL2,114,0.86874,30,-1.2728,61,-0.1646,144,1.29611,40,-0.8324,73,0.12731,39,-0.8641,55,-0.3822
ENSG00000242485,MRPL20,216,0.21748,133,-0.5559,177,-0.1056,253,0.48637,155,-0.3183,219,0.24097,253,0.48600,147,-0.4514
ENSG00000179403,VWA1,106,2.21815,20,-0.7143,39,0.35055,37,0.22110,9,-1.9267,27,-0.2820,18,-0.8605,15,-1.2482
ENSG00000205090,TMEM240,17,-1.0976,35,-0.0300,42,0.26008,47,0.47398,59,0.84598,32,-0.1606,16,-1.2021,36,-0.0015
ENSG00000160075,SSU72,137,-0.2874,133,-0.3407,237,0.61153,270,0.83534,104,-0.7197,115,-0.5632,255,0.73479,114,-0.6526
ENSG00000228594,FNDC10,1,-4.5336,30,-0.1713,16,-1.0646,55,0.86184,42,0.39082,26,-0.3748,80,1.54784,23,-0.6193
ENSG00000272106,ENSG00000272106,40,0.25555,25,-0.4911,76,1.38890,18,-0.9542,36,0.10231,28,-0.2878,24,-0.5543,29,-0.2693
