Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to7,Feature log2 fold change topic 4to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,80,1.57749,6,-2.4885,5,-2.8142,37,0.39972,32,0.02574,18,-0.9061,29,-0.1596
ENSG00000188976,NOC2L,80,0.24744,52,-0.4418,106,0.71656,83,0.49511,33,-1.1060,31,-1.2325,51,-0.4589
ENSG00000188290,HES4,80,0.65957,13,-2.1553,88,0.82457,33,-1.0373,43,-0.3456,110,1.21474,70,0.44426
ENSG00000187608,ISG15,80,0.84263,63,0.43542,68,0.56169,24,-1.3867,29,-0.7769,49,0.03451,95,1.13454
ENSG00000078808,SDF4,80,-0.0918,126,0.64062,100,0.26261,86,0.04110,57,-0.6176,57,-0.6285,84,-0.0178
ENSG00000176022,B3GALT6,80,1.29912,19,-1.0593,33,-0.1657,42,0.30845,16,-1.2337,34,-0.1470,21,-0.9053
ENSG00000160087,UBE2J2,80,0.67796,60,0.20502,29,-0.9443,64,0.48017,22,-1.3247,37,-0.5543,46,-0.2347
ENSG00000131584,ACAP3,851,3.20521,46,-1.9745,50,-1.8419,109,-0.9178,96,-0.8634,129,-0.4175,69,-1.3724
ENSG00000127054,INTS11,80,0.42051,92,0.64657,32,-1.0000,71,0.36104,51,-0.2877,40,-0.6702,37,-0.8054
ENSG00000224051,CPTP,80,1.39795,27,-0.4266,34,-0.0417,34,-0.0627,30,-0.2316,17,-1.1169,26,-0.4557
ENSG00000107404,DVL1,80,0.44819,61,0.01647,62,0.02938,58,-0.1204,80,0.43540,53,-0.2088,41,-0.6296
ENSG00000175756,AURKAIP1,80,-0.6955,168,0.47513,130,0.06368,134,0.16046,117,-0.1101,124,-0.0089,98,-0.3888
ENSG00000221978,CCNL2,80,0.32164,118,0.97859,53,-0.3356,57,-0.3233,57,-0.2236,48,-0.4918,72,0.15070
ENSG00000242485,MRPL20,80,-1.0322,233,0.65622,172,0.15684,164,0.11458,152,-0.0403,141,-0.1650,128,-0.3079
ENSG00000179403,VWA1,80,1.25649,54,0.58197,14,-1.4789,19,-1.3761,10,-1.9569,8,-2.3549,136,2.31384
ENSG00000205090,TMEM240,80,0.97445,8,-2.4713,28,-0.7014,54,0.48591,44,-0.0228,39,-0.2004,30,-0.6159
ENSG00000160075,SSU72,80,-1.1177,202,0.32781,234,0.56805,188,0.32774,162,-0.0302,133,-0.3366,87,-0.9914
ENSG00000228594,FNDC10,80,1.24030,4,-3.2298,83,1.30963,36,-0.1145,15,-1.3824,11,-1.8722,43,0.19720
ENSG00000272106,ENSG00000272106,80,1.41996,45,0.43580,5,-2.6833,29,-0.3813,31,-0.1605,54,0.71624,14,-1.4211
ENSG00000197530,MIB2,80,1.17921,57,0.60375,17,-1.2891,45,0.29019,28,-0.5284,18,-1.2127,17,-1.2491
ENSG00000189339,SLC35E2B,80,-0.2882,87,-0.1574,136,0.56710,97,0.02510,106,0.15830,91,-0.0968,73,-0.4331
ENSG00000008130,NADK,80,1.45926,40,0.26909,16,-1.1525,30,-0.2695,31,-0.1480,27,-0.3396,24,-0.5110
ENSG00000078369,GNB1,80,-2.3405,331,-0.2008,391,0.06544,483,0.66816,352,-0.1005,345,-0.1354,323,-0.2389
ENSG00000187730,GABRD,80,-0.7963,61,-1.2010,61,-1.2207,194,1.05463,91,-0.6049,236,0.94266,31,-2.2050
ENSG00000067606,PRKCZ,80,-1.2004,69,-1.4317,274,0.74328,216,0.56294,138,-0.3669,200,0.21703,118,-0.6157
ENSG00000162585,FAAP20,80,0.47533,109,0.99025,66,0.15139,52,-0.3262,52,-0.2240,25,-1.3389,59,-0.0088
ENSG00000157933,SKI,80,0.86084,61,0.40883,15,-1.6952,43,-0.2172,58,0.33356,47,-0.0140,40,-0.2776
ENSG00000157916,RER1,80,0.04662,109,0.55527,92,0.26366,80,0.07170,66,-0.2651,61,-0.3829,50,-0.7036
ENSG00000157911,PEX10,80,1.28466,35,-0.0975,32,-0.2406,33,-0.2840,26,-0.5861,27,-0.4911,42,0.16775
ENSG00000197921,HES5,80,1.06455,5,-3.1187,7,-2.7261,28,-0.8543,178,2.68751,22,-1.0190,18,-1.2808
ENSG00000157870,PRXL2B,847,3.61977,69,-1.1626,62,-1.3226,80,-1.2491,55,-1.4992,35,-2.1602,75,-1.0258
ENSG00000158109,TPRG1L,80,-1.3372,173,-0.1613,144,-0.4400,274,1.01340,150,-0.3841,158,-0.2960,108,-0.8877
ENSG00000130764,LRRC47,80,-0.0255,82,0.01531,39,-1.1491,102,0.59151,63,-0.4026,75,-0.1378,67,-0.3048
ENSG00000196581,AJAP1,80,0.74501,2,-4.7872,6,-3.1508,72,0.97415,52,0.04776,41,-0.3454,39,-0.4302
ENSG00000069424,KCNAB2,80,-1.2833,45,-2.1263,160,-0.2200,252,0.84899,277,0.66776,191,0.05990,83,-1.2380
ENSG00000116254,CHD5,80,-0.9540,27,-2.5858,219,0.64207,200,0.80952,190,0.40466,19,-3.0432,147,-0.0087
ENSG00000116251,RPL22,669,0.90266,572,0.63457,223,-0.8633,295,-0.6149,370,-0.0797,482,0.35062,392,0.01303
ENSG00000116237,ICMT,80,0.84916,96,1.16586,41,-0.2432,36,-0.6367,21,-1.2674,67,0.53880,31,-0.6848
ENSG00000097021,ACOT7,80,-1.7743,95,-1.5283,373,0.61847,370,1.04222,171,-0.6292,193,-0.4436,165,-0.6860
