Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000188976,NOC2L,3,-4.2771,103,0.74237,22,-1.6526,39,-0.8070,91,0.53287,125,1.07996,78,0.32746,50,-0.4217,65,-0.0060
ENSG00000187608,ISG15,3,-4.0086,103,1.06512,68,0.35499,14,-2.0223,129,1.47154,72,0.45652,30,-1.0116,77,0.56912,18,-1.6682
ENSG00000078808,SDF4,101,0.28399,103,0.31978,72,-0.2603,1,-5.6050,92,0.13526,103,0.31916,81,-0.0811,40,-1.1486,171,1.19226
ENSG00000131584,ACAP3,77,0.05094,103,0.51534,52,-0.5618,11,-2.8666,1,-6.1282,60,-0.3546,123,0.95889,54,-0.5252,146,1.11962
ENSG00000127054,INTS11,138,0.88933,103,0.39739,52,-0.6768,7,-3.5994,104,0.41785,170,1.26257,63,-0.4256,48,-0.7874,57,-0.5518
ENSG00000107404,DVL1,3,-3.9953,103,1.08197,50,-0.1122,7,-2.9460,77,0.58295,52,-0.0395,48,-0.1858,72,0.46218,77,0.57554
ENSG00000175756,AURKAIP1,3,-6.0157,1052,3.05305,132,-0.7881,154,-0.5474,147,-0.6204,109,-1.0835,172,-0.4191,144,-0.6512,102,-1.1844
ENSG00000221978,CCNL2,3,-4.2804,103,0.73782,50,-0.4201,62,-0.1033,81,0.33941,73,0.17313,70,0.11253,69,0.07838,76,0.22905
ENSG00000242485,MRPL20,3,-5.6485,103,-0.7788,258,0.69207,111,-0.6626,232,0.51345,248,0.62443,198,0.28055,134,-0.3735,211,0.35114
ENSG00000160075,SSU72,49,-1.6103,103,-0.4880,165,0.25828,134,-0.0726,217,0.71974,179,0.39360,153,0.16100,86,-0.7672,164,0.25156
ENSG00000189339,SLC35E2B,3,-4.6280,103,0.33731,57,-0.5878,22,-2.0150,122,0.61883,141,0.86374,108,0.48086,97,0.23300,74,-0.1903
ENSG00000078369,GNB1,263,-0.5911,110,-1.8977,276,-0.5125,372,-0.0465,567,0.64594,479,0.36409,476,0.40416,319,-0.2903,489,0.39985
ENSG00000187730,GABRD,3,-5.0096,103,-0.0892,33,-1.8220,20,-2.5354,2,-5.4486,141,0.41719,252,1.77995,48,-1.2736,235,1.30245
ENSG00000067606,PRKCZ,428,1.36488,103,-0.9677,48,-2.1164,82,-1.3033,189,-0.0213,240,0.36093,266,0.61851,112,-0.8419,185,-0.0587
ENSG00000162585,FAAP20,173,1.42002,103,0.51352,67,-0.1695,61,-0.3186,73,-0.0438,75,-0.0002,28,-1.6367,41,-0.9307,102,0.49554
ENSG00000157916,RER1,253,1.55761,103,0.00871,129,0.37148,43,-1.3293,140,0.51366,59,-0.8498,94,-0.1521,43,-1.3307,65,-0.6997
ENSG00000157870,PRXL2B,3,-4.0969,103,0.95826,46,-0.3668,9,-2.7051,118,1.20199,125,1.30874,62,0.13694,30,-1.0130,19,-1.7170
ENSG00000158109,TPRG1L,3,-5.8177,103,-0.9579,111,-0.8426,157,-0.3054,246,0.41627,477,1.58309,271,0.66627,85,-1.2413,182,-0.0773
ENSG00000130764,LRRC47,3,-4.5726,103,0.40019,38,-1.1411,34,-1.3224,167,1.23042,65,-0.3306,112,0.62332,69,-0.2517,101,0.37059
