Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,80,1.57749,6,-2.4885,5,-2.8142,64,1.17239,13,-1.3991,27,-0.2665,46,0.58301,32,0.02574,18,-0.9061,29,-0.1596
ENSG00000188976,NOC2L,80,0.24744,52,-0.4418,106,0.71656,122,0.95050,55,-0.3410,65,-0.0970,91,0.46419,33,-1.1060,31,-1.2325,51,-0.4589
ENSG00000188290,HES4,80,0.65957,13,-2.1553,88,0.82457,71,0.46867,20,-1.4631,13,-2.1319,26,-1.1257,43,-0.3456,110,1.21474,70,0.44426
ENSG00000187608,ISG15,80,0.84263,63,0.43542,68,0.56169,25,-0.9900,48,-0.0056,12,-2.1014,12,-2.0985,29,-0.7769,49,0.03451,95,1.13454
ENSG00000078808,SDF4,80,-0.0918,126,0.64062,100,0.26261,143,0.85970,56,-0.6461,82,-0.0479,64,-0.4397,57,-0.6176,57,-0.6285,84,-0.0178
ENSG00000176022,B3GALT6,80,1.29912,19,-1.0593,33,-0.1657,33,-0.1610,46,0.36063,42,0.18083,47,0.36418,16,-1.2337,34,-0.1470,21,-0.9053
ENSG00000160087,UBE2J2,80,0.67796,60,0.20502,29,-0.9443,89,0.86226,68,0.41072,46,-0.2104,52,-0.0406,22,-1.3247,37,-0.5543,46,-0.2347
ENSG00000131584,ACAP3,851,3.20521,46,-1.9745,50,-1.8419,185,0.16078,42,-2.1069,106,-0.7173,104,-0.7520,96,-0.8634,129,-0.4175,69,-1.3724
ENSG00000127054,INTS11,80,0.42051,92,0.64657,32,-1.0000,106,0.88999,59,-0.0836,59,-0.0696,62,-0.0018,51,-0.2877,40,-0.6702,37,-0.8054
ENSG00000224051,CPTP,80,1.39795,27,-0.4266,34,-0.0417,47,0.47429,37,0.06947,20,-0.8288,32,-0.1228,30,-0.2316,17,-1.1169,26,-0.4557
ENSG00000107404,DVL1,80,0.44819,61,0.01647,62,0.02938,70,0.22197,46,-0.4269,59,-0.0524,56,-0.1276,80,0.43540,53,-0.2088,41,-0.6296
ENSG00000175756,AURKAIP1,80,-0.6955,168,0.47513,130,0.06368,155,0.35079,135,0.12160,136,0.13153,108,-0.2307,117,-0.1101,124,-0.0089,98,-0.3888
ENSG00000221978,CCNL2,80,0.32164,118,0.97859,53,-0.3356,59,-0.1616,71,0.11985,31,-1.1339,67,0.02123,57,-0.2236,48,-0.4918,72,0.15070
ENSG00000242485,MRPL20,80,-1.0322,233,0.65622,172,0.15684,135,-0.2267,168,0.11416,192,0.33795,159,0.03159,152,-0.0403,141,-0.1650,128,-0.3079
ENSG00000179403,VWA1,80,1.25649,54,0.58197,14,-1.4789,50,0.44813,17,-1.2042,3,-3.6707,6,-2.5941,10,-1.9569,8,-2.3549,136,2.31384
