Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to9,Feature log2 fold change topic 2to9
ENSG00000188976,NOC2L,35,-0.9207,67,0.92070
ENSG00000188290,HES4,27,-0.8717,49,0.87176
ENSG00000187608,ISG15,166,2.23989,35,-2.2398
ENSG00000078808,SDF4,121,0.69400,74,-0.6940
ENSG00000176022,B3GALT6,33,-0.1766,37,0.17663
ENSG00000160087,UBE2J2,26,-0.9005,49,0.90056
ENSG00000131584,ACAP3,38,-1.2215,90,1.22150
ENSG00000127054,INTS11,76,0.31285,61,-0.3128
ENSG00000224051,CPTP,11,-1.5881,35,1.58819
ENSG00000107404,DVL1,53,-0.3216,66,0.32166
ENSG00000175756,AURKAIP1,109,-0.4476,149,0.44769
ENSG00000221978,CCNL2,114,0.86874,62,-0.8687
ENSG00000242485,MRPL20,216,0.21748,185,-0.2174
ENSG00000179403,VWA1,106,2.21815,22,-2.2181
ENSG00000205090,TMEM240,17,-1.0976,38,1.09767
ENSG00000160075,SSU72,137,-0.2874,168,0.28745
ENSG00000228594,FNDC10,1,-4.5336,37,4.53362
ENSG00000272106,ENSG00000272106,40,0.25555,33,-0.2555
ENSG00000197530,MIB2,52,0.77179,30,-0.7717
ENSG00000189339,SLC35E2B,76,-0.4172,102,0.41729
ENSG00000078369,GNB1,323,-0.4201,432,0.42018
ENSG00000187730,GABRD,7,-4.5649,177,4.56497
ENSG00000067606,PRKCZ,48,-2.1432,213,2.14328
ENSG00000162585,FAAP20,88,0.87421,48,-0.8742
ENSG00000157933,SKI,97,1.21700,41,-1.2170
ENSG00000157916,RER1,82,0.03669,80,-0.0366
ENSG00000197921,HES5,10,-2.1731,46,2.17316
ENSG00000157870,PRXL2B,73,0.30281,59,-0.3028
ENSG00000158109,TPRG1L,112,-1.1059,241,1.10594
ENSG00000130764,LRRC47,93,-0.0471,96,0.04712
ENSG00000196581,AJAP1,2,-4.2785,54,4.27854
ENSG00000069424,KCNAB2,26,-3.0796,224,3.07964
ENSG00000116254,CHD5,25,-2.6859,161,2.68591
ENSG00000116251,RPL22,584,0.79361,337,-0.7936
ENSG00000116237,ICMT,69,0.73018,41,-0.7301
ENSG00000097021,ACOT7,47,-3.0397,390,3.03976
ENSG00000162408,NOL9,51,0.39115,39,-0.3911
ENSG00000162413,KLHL21,95,1.45782,34,-1.4578
ENSG00000007923,DNAJC11,37,-0.1655,41,0.16555
ENSG00000171735,CAMTA1,153,-0.0628,159,0.06281
ENSG00000049246,PER3,54,0.68169,33,-0.6816
ENSG00000116288,PARK7,422,0.31210,339,-0.3121
ENSG00000162426,SLC45A1,9,-2.2436,43,2.24368
ENSG00000142599,RERE,129,0.25546,108,-0.2554
ENSG00000074800,ENO1,785,-0.2434,930,0.24340
ENSG00000171603,CLSTN1,645,-0.2560,770,0.25606
ENSG00000178585,CTNNBIP1,58,0.40946,43,-0.4094
ENSG00000162441,LZIC,125,2.35692,24,-2.3569
ENSG00000130939,UBE4B,46,-0.0544,48,0.05447
ENSG00000054523,KIF1B,366,-0.0626,382,0.06265
ENSG00000142657,PGD,22,-1.5441,66,1.54416
ENSG00000241563,CORT,50,-1.7965,175,1.79653
ENSG00000160049,DFFA,48,0.54928,32,-0.5492
ENSG00000120948,TARDBP,131,0.66392,82,-0.6639
ENSG00000116649,SRM,54,-1.4131,143,1.41317
ENSG00000171824,EXOSC10,50,0.71126,30,-0.7112
ENSG00000198793,MTOR,43,-0.2562,51,0.25621
ENSG00000116661,FBXO2,247,0.47883,177,-0.4788
ENSG00000132879,FBXO44,33,-2.0734,140,2.07340
ENSG00000011021,CLCN6,69,-0.0528,71,0.05289
ENSG00000116685,KIAA2013,55,0.74117,32,-0.7411
ENSG00000083444,PLOD1,101,2.02115,24,-2.0211
ENSG00000116688,MFN2,39,-1.7709,135,1.77094
ENSG00000048707,VPS13D,79,0.27213,65,-0.2721
ENSG00000162496,DHRS3,113,2.32389,22,-2.3238
ENSG00000116731,PRDM2,38,-0.7731,65,0.77317
ENSG00000189337,KAZN,67,0.31677,54,-0.3167
ENSG00000142634,EFHD2,54,-1.0413,113,1.04135
ENSG00000116138,DNAJC16,16,-1.0107,34,1.01075
ENSG00000116786,PLEKHM2,86,0.19495,75,-0.1949
ENSG00000065526,SPEN,68,0.79171,39,-0.7917
ENSG00000291072,CROCCP2,41,0.34961,32,-0.3496
ENSG00000159363,ATP13A2,34,-2.5574,203,2.55748
ENSG00000117118,SDHB,68,-0.3856,89,0.38561
ENSG00000117115,PADI2,174,3.51241,15,-3.5124
ENSG00000117154,IGSF21,24,-2.3268,124,2.32680
ENSG00000127463,EMC1,57,0.52211,40,-0.5221
ENSG00000053372,MRTO4,30,-0.2060,35,0.20601
ENSG00000053371,AKR7A2,149,1.56628,50,-1.5662
ENSG00000077549,CAPZB,224,0.09985,209,-0.0998
ENSG00000173436,MICOS10,201,-0.4515,276,0.45151
ENSG00000158747,NBL1,122,-0.6413,190,0.64137
ENSG00000162545,CAMK2N1,170,-2.5054,967,2.50545
ENSG00000090432,MUL1,31,0.07187,30,-0.0718
ENSG00000158828,PINK1,149,-1.6038,453,1.60388
ENSG00000244038,DDOST,89,1.18256,39,-1.1825
ENSG00000189410,SH2D5,5,-3.0452,46,3.04529
