group,capture_area,fiji_xml_path,fiji_image_path,spaceranger_dir,intra_group_scalar,group_hires_scalef
Br2719,V13B23-283_A1,/dcs05/lieber/lcolladotor/visiumStitched_LIBD1070/visiumStitched_brain/processed-data/03_stitching/fiji/Br2719.xml,/dcs05/lieber/lcolladotor/visiumStitched_LIBD1070/visiumStitched_brain/processed-data/03_stitching/fiji/Br2719.png,/dcs05/lieber/lcolladotor/visiumStitched_LIBD1070/visiumStitched_brain/processed-data/01_spaceranger/V13B23-283_A1/outs/spatial,1.0009205295934318,0.082453825
Br2719,V13B23-283_C1,/dcs05/lieber/lcolladotor/visiumStitched_LIBD1070/visiumStitched_brain/processed-data/03_stitching/fiji/Br2719.xml,/dcs05/lieber/lcolladotor/visiumStitched_LIBD1070/visiumStitched_brain/processed-data/03_stitching/fiji/Br2719.png,/dcs05/lieber/lcolladotor/visiumStitched_LIBD1070/visiumStitched_brain/processed-data/01_spaceranger/V13B23-283_C1/outs/spatial,1.000831502956455,0.082453825
Br2719,V13B23-283_D1,/dcs05/lieber/lcolladotor/visiumStitched_LIBD1070/visiumStitched_brain/processed-data/03_stitching/fiji/Br2719.xml,/dcs05/lieber/lcolladotor/visiumStitched_LIBD1070/visiumStitched_brain/processed-data/03_stitching/fiji/Br2719.png,/dcs05/lieber/lcolladotor/visiumStitched_LIBD1070/visiumStitched_brain/processed-data/01_spaceranger/V13B23-283_D1/outs/spatial,1,0.082453825
