Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to10,Feature log2 fold change topic 3to10
ENSG00000228794,LINC01128,80,1.57749,6,-2.4885,29,-0.5536
ENSG00000188976,NOC2L,80,0.24744,52,-0.4418,69,0.07189
ENSG00000188290,HES4,80,0.65957,13,-2.1553,55,0.25064
ENSG00000187608,ISG15,80,0.84263,63,0.43542,42,-0.7554
ENSG00000078808,SDF4,80,-0.0918,126,0.64062,80,-0.3533
ENSG00000176022,B3GALT6,80,1.29912,19,-1.0593,34,-0.5307
ENSG00000160087,UBE2J2,80,0.67796,60,0.20502,49,-0.5243
ENSG00000131584,ACAP3,851,3.20521,46,-1.9745,98,-2.1942
ENSG00000127054,INTS11,80,0.42051,92,0.64657,56,-0.6203
ENSG00000224051,CPTP,80,1.39795,27,-0.4266,31,-0.7970
ENSG00000107404,DVL1,80,0.44819,61,0.01647,58,-0.2784
ENSG00000175756,AURKAIP1,80,-0.6955,168,0.47513,125,0.01818
ENSG00000221978,CCNL2,80,0.32164,118,0.97859,57,-0.7882
ENSG00000242485,MRPL20,80,-1.0322,233,0.65622,156,-0.0048
ENSG00000179403,VWA1,80,1.25649,54,0.58197,31,-1.1219
ENSG00000205090,TMEM240,80,0.97445,8,-2.4713,45,0.01047
ENSG00000160075,SSU72,80,-1.1177,202,0.32781,171,0.27640
ENSG00000228594,FNDC10,80,1.24030,4,-3.2298,37,-0.1708
ENSG00000272106,ENSG00000272106,80,1.41996,45,0.43580,28,-1.1688
ENSG00000197530,MIB2,80,1.17921,57,0.60375,32,-1.0782
ENSG00000189339,SLC35E2B,80,-0.2882,87,-0.1574,99,0.24710
ENSG00000008130,NADK,80,1.45926,40,0.26909,27,-1.1202
ENSG00000078369,GNB1,80,-2.3405,331,-0.2008,418,1.02197
ENSG00000187730,GABRD,80,-0.7963,61,-1.2010,149,1.07270
ENSG00000067606,PRKCZ,80,-1.2004,69,-1.4317,199,1.41574
ENSG00000162585,FAAP20,80,0.47533,109,0.99025,51,-0.8766
ENSG00000157933,SKI,80,0.86084,61,0.40883,42,-0.7531
ENSG00000157916,RER1,80,0.04662,109,0.55527,74,-0.3630
ENSG00000157911,PEX10,80,1.28466,35,-0.0975,32,-0.8260
